id,name,location,card_price,time,display,stage
76580,Library Socials,Various Locations,Free,2023-04-10 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-10 09:00:00,True,['Published/Will be']
80929,Beginners Pilates Class,We Are Wellness,Free first beginner class,2023-04-10 17:30:00,True,['Published/Will be']
76580,Library Socials,Various Locations,Free,2023-04-11 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-11 09:00:00,True,['Published/Will be']
80980,Clubbercise,Swinnow Community Centre,From £5,2023-04-11 19:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-12 09:00:00,True,['Published/Will be']
79768,Meditative Walks with Brahma Kumaris,Kirkstall Abbey,Free,2023-04-12 10:30:00,True,['Published/Will be']
79243,Lindy Hop Fundamentals,The Dance Studio Leeds,£32,2023-04-12 19:30:00,True,['Published/Will be']
76580,Library Socials,Various Locations,Free,2023-04-13 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-13 09:00:00,True,['Published/Will be']
81140,Overlooked Spotlight Tour,Leeds City Museum,Free,2023-04-13 12:00:00,True,['Published/Will be']
81153,BSL Overlooked Spotlight Tour,Leeds City Museum,Free,2023-04-13 14:00:00,True,['Published/Will be']
76580,Library Socials,Various Locations,Free,2023-04-14 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-14 09:00:00,True,['Published/Will be']
79686,Tiny Tigers - museum crafts for under 5s,Leeds City Museum,Free,2023-04-14 10:00:00,True,['Published/Will be']
80128,Meet & Make,Leeds Art Gallery,Free,2023-04-14 13:30:00,True,['Published/Will be']
77859,Lindy Fridays,Carriageworks Theatre,,2023-04-14 19:00:00,,
79690,Rory's Saturday Club - free crafts for families,Leeds City Museum,Free,2023-04-15 11:00:00,True,['Published/Will be']
81256,Afrikan Market Leeds,Leeds West Indian Centre,Free,2023-04-15 11:00:00,True,['Published/Will be']
79575,The Bad Mittens Sunday at Armley,Armley Leisure Centre,From £2.50,2023-04-16 12:00:00,True,['Published/Will be']
76580,Library Socials,Various Locations,Free,2023-04-17 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-17 09:00:00,True,['Published/Will be']
80929,Beginners Pilates Class,We Are Wellness,Free first beginner class,2023-04-17 17:30:00,True,['Published/Will be']
80978,Clubbercise ,New Farnley Community Centre,From £5,2023-04-17 19:10:00,,
76580,Library Socials,Various Locations,Free,2023-04-18 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-18 09:00:00,True,['Published/Will be']
80980,Clubbercise,Swinnow Community Centre,From £5,2023-04-18 19:00:00,True,['Published/Will be']
80545,Leonkoro Quartet | Quartet in Residence,"The Venue, Leeds Conservatoire",From £10,2023-04-18 19:30:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-19 09:00:00,True,['Published/Will be']
79768,Meditative Walks with Brahma Kumaris,Kirkstall Abbey,Free,2023-04-19 10:30:00,True,['Published/Will be']
80829,Wellbeing Wednesdays at Leeds Art Gallery ,Leeds Art Gallery,Free,2023-04-19 11:30:00,True,['Published/Will be']
78914,Kathryn Roberts & Sean Lakeman,Carriageworks Theatre,From £19.50,2023-04-19 19:30:00,True,['Published/Will be']
79243,Lindy Hop Fundamentals,The Dance Studio Leeds,£32,2023-04-19 19:30:00,True,['Published/Will be']
76580,Library Socials,Various Locations,Free,2023-04-20 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-20 09:00:00,True,['Published/Will be']
76580,Library Socials,Various Locations,Free,2023-04-21 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-21 09:00:00,True,['Published/Will be']
79686,Tiny Tigers - museum crafts for under 5s,Leeds City Museum,Free,2023-04-21 10:00:00,True,['Published/Will be']
80128,Meet & Make,Leeds Art Gallery,Free,2023-04-21 13:30:00,True,['Published/Will be']
81663,Circus Skills for All Ages & Abilities,Harehills Lane Baptist Church,From £9.50,2023-04-21 16:30:00,True,['Published/Will be']
