News Date,News Headline,Contact Name,Outlet Name,Outlet Type,Audience Reach,UV*,Tone,Medium,Custom Tags,News Company Mentions
2022-06-30,Councillor wants to put Leeds on the map ,,Yorkshire Evening Post ,,23055,,POS,Print,Local ,
2022-06-30,Emmerdale celebration links to Year of Culture,,Yorkshire Post ,,21817,,POS,Print,Regional ,
2022-06-30,Culture link with soap milestone ,,Yorkshire Post,,21817,,POS,Print,Regional,
2022-06-30,National Lottery awards £13.7m for community projects,,Arts Professional ,,,,POS,Online ,Trade ,
2022-06-30,£2m Lotto number comes up for 2023 culture project ,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2022-06-30,£2m Boost for Year of Culture (Front cover) ,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2022-07-02,Bringing the arts to life - and the community together - in Garforth ,,Yorkshire Evening Post ,,23055,,Postive,Print ,Local,
2022-07-03,Garforth community artist looking to engage town in green projects as part of Leeds 2023 involvement,,Yorkshire Evening Post,,311316,,POS,Online,Local,
2022-07-04,Looking ahead doesn't mean forgetting past ,,Yorkshire Evening Post ,,23055,,POS,Print ,Local,
2022-07-09,Original take on caputuring life through lens across Leeds faith  ,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2022-07-11,Making connections through a lens - the Leeds project taking a closer look in our communities,,Yorkshire Evening Post,,311316,,POS,Online,Local,
2022-07-12,Leeds 2023 is coming to Middleton ,,South Leeds Life,,,,POS,Online ,Local,
2022-07-14,PROPERTY GIANT BECOMES HEADLINE PARTNER OF LEEDS 2023,,insidermedia.com,,10250,,POS,Online,Regional ,
2022-07-14,LEEDS 2023 announces Landsec as headline partner,,South Leeds Life,,,,POS,Online ,Local,
2022-07-14,Landsec to be partner for year of culture ,,Yorkshire Post - Business ,,21817,,POS,Print ,Regional ,
2022-07-15,LEEDS 2023 announces Landsec as headline partner,,Bdaily ,,126000,,POS,Online ,Regional ,
2022-07-15,Our aim is for cultural renaissance in the region ,,Yorkshire Post ,,21817,,POS,Print ,Regional ,
2022-07-18,CEO of Leeds 2023 to speak at the upcoming Summer BBQ,,TheBusinessDesk.com,,170000,,POS,Online ,Regional,
2022-07-19,Discover more about Leeds 2023 – roadshow comes to Kirkstall,,West Leeds Dispatch,,1140,,POS,Online ,Local,
2022-07-20,7 reasons why Leeds has to host the 2023 Eurovision Song Contest,,Leeds Live,,55680,,POS,Online ,Local,
2022-07-23,Celebrating our city's African communities,,Yorkshire Evening Post ,,36512,,POS,Print ,Local ,
2022-07-24,Artist Ndidi Nkwopara on why she wanted to be part of the Leeds 2023 project bringing the city's African communities together,,Yorkshire Evening Post ,,311316,,POS,Online ,Local,
2022-07-25,Eurovision 2023: UK will host Eurovision next year - here are the betting odds for it being held in Leeds,,Yorkshire Evening Post ,,311316,,POS,Online ,Local,
2022-07-25,Eurovision 2023: BBC confirms song contest will take place in UK - and this Yorkshire city could be in the running to host,,Yorkshire Post ,,567120,,POS,Online ,Regional,
2022-07-26,Sheffield & Leeds Express Interest As The UK Is Set To Host Eurovision Song Contest 2023,,The Yorkshireman ,,,,POS,Online ,Regional ,
2022-07-26,Eurovision: UK cities in the running to host as fans rally around Rylan to present,,Pink News ,,6320012,,POS,Online ,National ,
2022-07-26,Eurovision in Sheffield: Yorkshire city among first to announce bid to host song contest as mayor says it is the 'obvious choice',,Yorkshire Post ,,567120,,POS,Online ,Regional ,
2022-07-26,Leeds to get funding boost for the arts and culture projects ,,Newstart ,,10000,,POS,Online ,Regional ,
2022-07-26,Funding boost for city’s arts and culture projects set for approval,,Leeds.Gov.UK,,,,POS,Online ,Local,
2022-07-27,Funding boost for city’s arts and culture projects set for approval,,News Anyway ,,,,POS,Online,Local,
2022-07-27,£1.6M ARTS AND CULTURE FUNDING SET FOR APPROVAL,,Insider Media ,,10250,,POS,Online ,Trade,
2022-07-28,Sound case for Yorkshire to be a Eurovision winner ,,Yorkshire Post ,,21817,,POS,Print ,Regional ,
2022-07-30,Leeds2023 - making year of culture happen,,Yorkshire Evening Post,,36512,,POS,Print,Local,
2022-08-01,How to get the whole city excited about the Leeds 2023 year of culture - Chris Ansell,,Yorkshire Evening Post ,,311316,,POS,Online,Local,
2022-08-01,Get excited about our year of culture ,,Yorkshire Evening Post ,,23055,,POS,Print ,Local ,
2022-08-03,Digital ‘avengers’ to deliver pioneering super strategy with LEEDS 2023,,Yorkshire Business Daily ,,5000,,POS,Online ,Regional ,
2022-08-05,"LEEDS 2023 names “digital avengers” to deliver “super strategy""",,prolificnorth.co.uk,,70000,,POS,Online ,Regional ,
2022-08-05,LEEDS 2023 names “digital avengers” to deliver “super strategy” “Prolific North”.,,UK Daily News,,,,POS,Online ,Regional ,
2022-08-05,LEEDS 2023 names ‘digital avengers’ to deliver ‘super strategy’ Prolific North,,Today Post us Zero ,,,,POS,Online ,International ,
2022-08-06,Skateboard Community has so much to offer ,,Yorkshire Evening Post ,,36512,,POS,Print ,Local ,
2022-08-07,Leeds 2023: Over 60s invited to tell their tales for 1001 Stories,,West Leeds Dispatch,,,,POS,Online ,Local ,
2022-08-08,How LEEDS 2023 is helping to empower skateboarders in city and combat stigma,,Yorkshire Evening Post ,,237450,,POS,Online ,Local ,
2022-08-08,Agency roundup: Extreme; Rise at Seven; LEEDS 2023; and more,,BusinessDesk ,,170000,,POS,Online ,Regional ,
2022-08-09,Agencies on board to support LEEDS2023,,Yorkshire Post ,,21817,,POS,Print ,Regional ,
2022-08-20,Back to backs' Inspire community art project ,,Yorkshire Evening Post ,,36512,,POS,Print ,Local ,
2022-08-21,Celebrating the best of Harehills community inspires Leeds 2023 project led by animators,,Yorkshire Evening Post ,,237450,,POS,Online ,Local ,
2022-08-24,Why Leeds would be a fitting place to host Eurovision next year - Tracy Brabin,,Yorkshire Post ,,21817,,POS,Online ,Regional ,
2022-08-27,Call goes out for 'older generation' to speak up ,,Yorkshire Evening Post ,,237450,,POS,Online ,Local ,
2022-08-28,The Performance Ensemble capture hidden stories older people that will 'resonate across the world',,Yorkshire Evening Post ,,237450,,POS,Online ,Local ,
2022-08-29,"Yinka Shonibare's latest commision is part of a proposed memorial for British Nigerian David Oluwale. @TheTetley, @RememberOluwale @LEEDS2023 presents the sculpture which signifies hope and renewal from 11 Sep",,Twitter - Aesthetica Magazine ,,106000,,POS,Online ,Social media ,
2022-09-02,Arts View: Nick Ahad ,,Yorkshire Post ,,21817,,POS,Print ,Regional ,
2022-09-03,Helping the people to publish their stories,,Yorkshire Evening Post ,,36512,,POS,Print ,Local ,
2022-09-04,Leeds 2023: Meet the 'incredibly lucky' writer helping local people to publish their stories,,Yorkshire Evening Post ,,237450,,POS,Online ,Local ,
2022-09-05,City's 'huge' Eurovision opportunity ,,Yorkshire Evening Post ,,36512,,POS,Print ,Local ,
2022-09-05,David Oluwale honoured with restored plaque in Leeds ,,The Voice ,,30000,,POS,Online ,Local,
2022-09-05,Eurovision 2023 coming to Leeds would be a huge opportunity for the city - council deputy leader Jonathan Pryor,,Yorkshire Evening Post ,,237450,,POS,Online ,Local,
2022-09-06,Leeds promises Eurovision 2023 will be ‘Ukraine’s party in our house’ if city wins host bid,,Yorkshire Evening Post ,,237450,,POS,Online ,Local ,
2022-09-06,Rugby League World Cup 2021 launches plans for Cultural Festival ,,Inside the games ,,58100,,POS,Online ,International ,
2022-09-14,Jamie Jones-Buchanan leaves coaching role – but stays with Leeds,,Yahoo! Sport ,,,,POS,Online ,National ,
2022-09-14,Leeds Rhinos legend Jamie Jones-Buchanan to take groundbreaking new role at club,,Leeds Live ,,220262,,POS,Online ,Local ,
2022-09-14,RHINOS LEGEND JONES-BUCHANAN TO TAKE ON NEW HEADINGLEY ROLE,,Leeds Rihnos ,,,,POS,Online ,Local,
2022-09-15,"Leeds 2023: 1,000 volunteers needed for year of culture celebrations",,Yorkshire Evening Post ,,237450,,POS,Online ,Local,
2022-09-15,Support Leeds 2023 city of culture by volunteering,,West Leeds Dispatch,,,,POS,Online ,Local ,
2022-09-16,"1,000 Volunteering opportunities announced for year of culture ",,South Leeds Life ,,,,POS,Online ,Local,
2022-09-16,"1,000 volunteers needed for cultural celebrations ",,Yorkshire Evening Post ,,36512,,POS,Print ,Local ,
2022-09-17,Four West Leeds sites earmarked for local authority housing,,West Leeds Dispatch,"Online, consumer",0,3141.0,POS,Online,Local,Leeds 2023
2022-09-17,Youths shift 34 tonnes as new Bramley eco peace garden takes shape,,West Leeds Dispatch,"Online, consumer",0,3141.0,NEU,Online,Local,Leeds 2023
2022-09-17,Inspirational Bramley Baths hailed a 'beacon for society' as AGM hears of most successful year,,West Leeds Dispatch,"Online, consumer",0,3141.0,NEU,Online,Local,Leeds 2023
2022-09-17,Support Leeds 2023 city of culture by volunteering,,West Leeds Dispatch,"Online, consumer",0,3141.0,NEU,Online,Local,Leeds 2023
2022-09-20,Inspirational Bramley Baths hailed a 'beacon for society' as AGM hears of most successful year,,West Leeds Dispatch,"Online, consumer",0,3141.0,NEU,Online,Local,Leeds 2023
2022-09-21,Leeds Art Gallery's landmark exhibition puts city's artists in the frame,,Leeds City Council News - News,"Online, consumer",0,,POS,Online,Local,Leeds 2023
2022-09-22,Steph's Packed Lunch,,Channel 4,Television station,2821000,,NEU,Broadcast,National,
2022-09-22,White Rose Shopping Centre Archives,,South Leeds Life,"Online, consumer",0,1687.0,POS,Online,Local,Leeds 2023
2022-09-22,Art Gallery's landmark exhibition puts city's artists in the frame,,South Leeds Life,"Online, consumer",0,1687.0,POS,Online,Local,Leeds 2023
2022-09-22,Museum Moves 16 - 22 September 2022,,Museums + Heritage Advisor,"Online, consumer",0,5091.0,POS,Online,National; Trade,Leeds 2023
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 13:49:44.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds City of Culture
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 14:15:54.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-23,ITV Lunchtime News,,ITV 1 Yorkshire West,Television station,790001,,NEU,Broadcast,Regional,Leeds 2023; The Awakening
2022-09-23,ITV Lunchtime News,,ITV 1 Yorkshire West,Television station,790001,,NEU,Broadcast,Regional,Leeds 2023; The Awakening
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 13:00:02.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-23,NEW EXHIBITION PUTS LEEDS ARTISTS IN THE FRAME - Leeds Guide,,Leeds Guide,"Online, consumer",0,236.0,POS,Online,Local,Leeds 2023
2022-09-23,Steph's Packed Lunch,,Channel 4,Television station,2821000,,POS,Broadcast,National,Leeds 2023; The Awakening
2022-09-23,Leeds 2023 opening-ceremony ticket offer tries to harness city's creativity,,Wopular,"Online, consumer",0,1987.0,POS,Online,International,Leeds 2023
2022-09-23,Leeds 2023 announces huge opening show at Headingley Stadium with star-studded lineup,,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,"Online, consumer",0,237450.0,POS,Online,Local,Leeds 2023; The Awakening
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 14:00:01.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 14:36:18.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-23,Creativity is just the ticket,Genevieve Lewis,TheTicketingBusiness News,"Online, consumer",0,,POS,Online,International,Leeds Year Of Culture
2022-09-23,Leeds 2023 opening-ceremony ticket offer tries to harness city's creativity – BBC,x99news,X99news,"Online, consumer",0,,POS,Online,International,Leeds 2023
2022-09-23,ITV News London,,ITV 1 Yorkshire West,Television station,790001,,NEU,Broadcast,Regional,Leeds Year Of Culture; The Awakening
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 17:49:55.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-23,Leeds 2023 to see a reimagining of Mexico's Day of the Dead as elements of the 'epic' programme revealed,,"Yorkshire Post - yorkshirepost.co.uk, The","Online, consumer",0,256221.0,NEU,Online,Regional,Leeds 2023
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 17:16:24.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 16:51:42.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023; The Awakening
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 15:40:37.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 15:24:31.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023; The Awakening
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 14:41:18.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023; The Awakening
2022-09-23,BBC London News,,BBC One Yorkshire,Television station,824001,,NEU,Broadcast,Regional,Leeds 2023; The Awakening
2022-09-23,Leeds 2023 opening-ceremony ticket offer tries to harness city's creativity,,World News Network,"Online, consumer",0,197405.0,POS,Online,,Leeds 2023
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 12:00:10.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023; The Awakening
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 11:00:49.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023; The Awakening
2022-09-23,Stadium show offers tickets in exchange for art,,MSN News,"Online, consumer",0,59740000.0,POS,Online,International; National,Leeds 2023; The Awakening
2022-09-23,Stadium show offers tickets in exchange for art,,Vietname Explorer,"Online, consumer",0,204240.0,POS,Online,International,Leeds 2023; The Awakening
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 07:20:31.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023; The Awakening
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 07:25:34.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 07:45:05.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 08:00:02.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023; The Awakening
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 08:37:02.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023; The Awakening
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 08:42:03.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023; The Awakening
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 08:43:30.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-23,Leeds 2023 opening-ceremony ticket offer tries to harness city's creativity,,User Walls,"Online, consumer",0,,POS,Online,International,Leeds 2023; The Awakening
2022-09-23,Leeds 2023 opening-ceremony ticket offer tries to harness city's creativity,,Breakn,"Online, consumer",0,,POS,Online,International,Leeds 2023
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 07:30:01.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-23,City aims to change lives through art ,,Yorkshire Post ,,21817,,POS,Print ,Regional ,
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 10:04:10.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 10:31:30.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,
2022-09-23,Leeds 2023 opening-ceremony ticket offer tries to harness city's creativity,,Finno Expert,"Online, consumer",0,,POS,Online,International,Leeds 2023
2022-09-23,Leeds 2023 opening-ceremony ticket offer tries to harness city's creativity - Entertainment,,Anygator (uk),"Online, consumer",0,171.0,POS,Online,,Leeds 2023
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 10:09:12.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,
2022-09-23,City aims to change lives through art,,"Yorkshire Post - North Yorks edition, The",Newspaper,40746,,NEU,Newspaper,Regional,
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 11:16:01.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,The Awakening
2022-09-23,Leeds 2023 announces initial programme ,,The Stage ,,9489,,POS,Online ,Trade ,
2022-09-23,Leeds 2023 announces initial programme,,"Stage - Online, The","Online, trade/industry",0,,NEU,Online,National; Trade,Leeds 2023
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 06:04:41.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds City of Culture
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 07:27:56.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds Year Of Culture
2022-09-24,Rupaul's Drag Race UK,,BBC One Yorkshire,Television station,824001,,NEU,Broadcast,Regional,Leeds 2023; The Awakening
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 06:10:32.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds City of Culture
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 06:15:31.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023; Leeds Year Of Culture
2022-09-24,Leeds 2023 opening-ceremony ticket offer tries to harness city's creativity,,CRWE World,"Online, consumer",0,24972.0,POS,Online,International,Leeds 2023
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 07:35:03.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 09:44:49.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023; Leeds Year Of Culture
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 07:51:31.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 07:56:32.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 09:39:48.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-24,Leeds 2023 opening-ceremony ticket offer tries to harness city's creativity,,BBC News Online,"Online, consumer",0,24207801.0,POS,Online,National,Leeds 2023; The Awakening
2022-09-24,Headingley Stadium live show announced as 100 day countdown begins,,"Yorkshire Post - yorkshirepost.co.uk, The","Online, consumer",0,256221.0,NEU,Online,Regional,Leeds 2023; The Awakening
2022-09-24,LEEDS 2023,,"British Library, The","Online, consumer",0,500.0,POS,Online,National; Trade,Leeds 2023
2022-09-24,Epic programme announced with 100 days to go to LEEDS 2023,Press Release,South Leeds Life,"Online, consumer",0,1687.0,POS,Online,Local,Leeds 2023; The Awakening
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 07:47:51.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-24,Carly Rae Jepsen to perform 'The So Nice Tour' in Leeds 2023,,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,"Online, consumer",0,237450.0,NEU,Online,Local,Leeds 2023
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 20:08:31.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 21:19:30.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-24,Spectacle of epic art and perfromance is promised for city ,,Yorkshire Post ,,21817,,POS,Print ,Regional ,
2022-09-24,Leeds 2023 pening show to kick off at headingley stadium ,,Yorkshire Evening Post ,,36512,,POS,Print ,Local ,
2022-09-24,Stars to launch city's year of culture ,,Yorkshire Evening Post ,,36512,,POS,Print ,Local ,
2022-09-24,Spectacle of epic art and perfromance is promised for city,,"Yorkshire Post - North Yorks edition, The",Newspaper,40746,,POS,Newspaper,Regional,
2022-09-24,Leeds 2023 pening show to kick off at headingley stadium,,Yorkshire Evening Post,"Newspaper, community",36512,,NEU,Newspaper,Local,Leeds 2023
2022-09-24,Stars to launch city's year of culture,,Yorkshire Evening Post,"Newspaper, community",36512,,NEU,Newspaper,Local,
2022-09-24,How Leeds2023 is transforming the city for its 'Year of Culture',,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,"Online, consumer",0,237450.0,POS,Online,Local,Leeds 2023; Leeds Year Of Culture; The Awakening
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 19:30:00.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 19:35:02.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 19:06:24.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 19:55:48.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 20:13:35.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 20:15:30.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 20:20:32.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 20:27:56.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023; The Awakening
2022-09-24,Leeds 2023 announces initial programme,,"Stage - thestage.co.uk, The","Online, consumer",0,77594.0,POS,Online,National; Trade,Leeds 2023
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 21:13:37.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023; The Awakening
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 19:43:30.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-25,Radio clip from BBC Leeds at 2022-09-25 17:39:37.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-25,Radio clip from BBC Leeds at 2022-09-25 18:57:16.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-25,Radio clip from BBC Sheffield at 2022-09-25 18:57:02.000,,BBC Radio Sheffield,Radio station,75000,,POS,Broadcast,Regional,Leeds 2023
2022-09-25,Radio clip from BBC Sheffield at 2022-09-25 17:42:14.000,,BBC Radio Sheffield,Radio station,75000,,POS,Broadcast,Regional,
2022-09-25,Radio clip from BBC Humberside at 2022-09-25 17:41:37.000,,BBC Radio Humberside,Radio station,61000,,NEU,Broadcast,Regional,
2022-09-25,Radio clip from BBC Sheffield at 2022-09-25 17:37:12.000,,BBC Radio Sheffield,Radio station,75000,,POS,Broadcast,Regional,Leeds 2023
2022-09-25,Header Carousel Section Archives,,South Leeds Life,"Online, consumer",0,1687.0,NEU,Online,Local,Leeds 2023
2022-09-25,Radio clip from BBC Leeds at 2022-09-25 17:35:34.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-25,Radio clip from BBC York at 2022-09-25 17:30:03.000,,BBC Radio York,Radio station,28000,,POS,Broadcast,Regional,Leeds 2023
2022-09-25,Radio clip from BBC York at 2022-09-25 17:27:27.000,,BBC Radio York,Radio station,28000,,POS,Broadcast,Regional,Leeds 2023
2022-09-25,Radio clip from BBC Leeds at 2022-09-25 10:47:49.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-25,Radio clip from BBC Leeds at 2022-09-25 10:37:35.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-25,Radio clip from BBC Leeds at 2022-09-25 10:30:01.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-25,Radio clip from BBC Leeds at 2022-09-25 09:48:37.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-25,Radio clip from BBC Humberside at 2022-09-25 17:36:36.000,,BBC Radio Humberside,Radio station,61000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Radio clip from BBC Leeds at 2022-09-26 12:44:29.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds City of Culture
2022-09-26,Radio clip from BBC Leeds at 2022-09-26 12:29:19.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,
2022-09-26,Radio clip from BBC Leeds at 2022-09-26 12:18:44.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Radio clip from BBC Leeds at 2022-09-26 11:36:12.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds City of Culture; The Awakening
2022-09-26,Radio clip from BBC Leeds at 2022-09-26 10:07:41.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds City of Culture
2022-09-26,Radio clip from BBC Leeds at 2022-09-26 09:40:40.000,,BBC Radio Leeds,Radio station,78000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,BBC News,,BBC Two Wales,Television station,572001,,NEU,Broadcast,National,Leeds 2023
2022-09-26,Breakfast,,BBC One West,Television station,687000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Radio clip from BBC Leeds at 2022-09-26 07:24:47.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,BBC News,,BBC Two,Television station,2638000,,POS,Broadcast,,Leeds 2023
2022-09-26,Details revealed on Leeds 2023 programme,Insider Media,Insider Media,"Online, trade/industry",0,91697.0,POS,Online,Regional,Leeds 2023; The Awakening
2022-09-26,Radio clip from BBC Leeds at 2022-09-26 12:50:28.000,,BBC Radio Leeds,Radio station,78000,,POS,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC One Yorkshire,Television station,824001,,NEU,Broadcast,Regional,Leeds City of Culture; The Awakening
2022-09-26,Breakfast,,BBC One Yorks & Lincs,Television station,870001,,NEU,Broadcast,Regional,Leeds City of Culture; The Awakening
2022-09-26,Breakfast,,BBC One East Midlands,Television station,687000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC Northern Ireland,Television station,687000,,NEU,Broadcast,,Leeds 2023
2022-09-26,Breakfast,,BBC One East,Television station,412000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,Breakfast,,BBC Cymru Wales,Television station,1145001,,NEU,Broadcast,,Leeds 2023
2022-09-26,BBC News,,BBC News Channel,Television station,505000,,POS,Broadcast,National; Regional,Leeds 2023
2022-09-26,BBC News at One,,BBC One Channel Islands,Television station,0,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,BBC News at One,,BBC One West,Television station,687000,,NEU,Broadcast,Regional,Leeds 2023
2022-09-26,BBC News at One,,BBC One South East,Television station,916001,,NEU,Broadcast,Regional,Leeds 2023
